id,name,price,oldPrice,imgLink,discountPercent,productLink,screenSize,resolution,operatingSystem,imageTechnology,processor,refreshRate,speakerPower,internetConnection,wirelessConnectivity,usbPorts,videoAudioInputPorts,manufacturer,manufacturedIn,releaseYear,screenType,audioOutputPorts,itemGift,crawlDate
"327368","Xiaomi Google TV A L55MA-ASEA Mẫu mới","8690000","10490000","https://cdn.tgdd.vn/Products/Images/1942/327368/google-tivi-xiaomi-a-4k-55-inch-l55ma-asea-thumb-2-550x340.jpg","-17","https://www.dienmayxanh.com/tivi/google-tivi-xiaomi-a-4k-55-inch-l55ma-asea","55 inch","4K","Google TV","HLG HDR10","","60 Hz","20W","Wi-Fi Cổng mạng LAN","Bluetooth (Kết nối loa, thiết bị di động)","1 cổng USB A","3 cổng HDMI có 1 cổng HDMI eARC (ARC), 1 cổng Composite","Xiaomi.  ","Việt Nam","2024","Đèn nền: LED nền (Direct LED), Tấm nền: VA LCD","1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)","",2024-11-03
"322674","Samsung Smart TV QLED QA55Q65D Mẫu mới","16190000","17900000","https://cdn.tgdd.vn/Products/Images/1942/322674/tivi-qled-samsung-4k-55-inch-qa55q65d-120324-012216-550x340.jpg","-9","https://www.dienmayxanh.com/tivi/tivi-qled-samsung-4k-55-inch-qa55q65d","55 inch","4K","Tizen™","Supreme UHD Dimming Quantum HDR Quantum Dot Dual LED Chuyển động mượt Motion Xcelerator Super Ultra Wide Game View & Game Bar Giảm độ trễ chơi game Auto Low Latency Mode (ALLM) Căn chỉnh hình ảnh tự động bảo vệ mắt EyeComfort Chế độ Game Motion Plus Ambient Mode","Bộ xử lý Quantum 4K Lite","60 Hz","20W","Wi-Fi Cổng mạng LAN","Bluetooth (Kết nối bàn phím, chuột)","2 cổng USB A","3 cổng HDMI có 1 cổng HDMI eARC (ARC)","Samsung.  ","Việt Nam","2024","Đèn nền: LED viền kết hợp Dual LED, Tấm nền: Hãng không công bố","1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)","Quà 520.000₫",2024-11-03
"303229","Samsung Smart TV UA75CU8000","25400000","25400000","https://cdnv2.tgdd.vn/mwg-static/dmx/Products/Images/1942/303229/smart-tivi-samsung-4k-75-inch-ua75cu8000-thumb-638649334198036076-550x340.jpg","0","https://www.dienmayxanh.com/tivi/smart-tivi-samsung-4k-75-inch-ua75cu8000","75 inch","4K","Tizen™","Nâng cấp độ tương phản Contrast Enhancer HDR10+ Dynamic Crystal Color Chuyển động mượt Motion Xcelerator Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)","Bộ xử lý Crystal 4K","50 Hz","20W","Wi-Fi Cổng mạng LAN","Bluetooth (Kết nối loa, thiết bị di động)","2 cổng USB A","3 cổng HDMI có 1 cổng HDMI eARC (ARC)","Samsung.  ","Việt Nam","2023","Đèn nền: LED viền (Edge LED), Tấm nền: VA LCD","1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)","Quà 520.000₫",2024-11-03
"273391","Samsung Smart TV UA55BU8000","12900000","12900000","https://cdnv2.tgdd.vn/mwg-static/dmx/Products/Images/1942/273391/smart-samsung-4k-55-inch-ua55bu8000-thumb-638649317772756611-550x340.jpg","0","https://www.dienmayxanh.com/tivi/smart-samsung-4k-55-inch-ua55bu8000","55 inch","4K","Tizen™","Nâng cấp độ tương phản Contrast Enhancer HDR10+ Dynamic Crystal Color Kiểm soát đèn nền UHD Dimming Chuyển động mượt Motion Xcelerator Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)","Bộ xử lý Crystal 4K","60 Hz","20W","Wi-Fi Cổng mạng LAN","Bluetooth (Kết nối loa, thiết bị di động)","2 cổng USB A","3 cổng HDMI có 1 cổng HDMI eARC (ARC)","Samsung.  ","Việt Nam","2022","Đèn nền: LED viền (Edge LED), Tấm nền: VA LCD","1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)","Quà 520.000₫",2024-11-03
"281936","TCL Google TV 55P635","8490000","10490000","https://cdn.tgdd.vn/Products/Images/1942/281936/google-tcl-4k-55-inch-55p635-270522-021039-550x340.jpg","-19","https://www.dienmayxanh.com/tivi/google-tcl-4k-55-inch-55p635?utm_flashsale=1","55 inch","4K","Google TV","HLG HDR10","Bộ xử lý AiPQ Gen 2","60 Hz","20W","Wi-Fi Cổng mạng LAN","Bluetooth (Kết nối loa, thiết bị di động)","1 cổng USB A","3 cổng HDMI có 1 cổng HDMI eARC (ARC), 1 cổng Composite","TCL.  ","Việt Nam","2022","Đèn nền: LED nền (Direct LED), Tấm nền: VA LCD","1 cổng 3.5 mm, 1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)","Quà 520.000₫",2024-11-03
"325313","Sony Google TV BRAVIA 3 K-55S30 Mẫu mới","16490000","21890000","https://cdn.tgdd.vn/Products/Images/1942/325313/google-tivi-sony-4k-55-inch-k-55s30-thumb-1-550x340.jpg","-24","https://www.dienmayxanh.com/tivi/google-tivi-sony-4k-55-inch-k-55s30?utm_flashsale=1","55 inch","4K","Google TV","Tăng cường màu sắc Triluminos Pro HLG HDR10 Dolby Vision Nâng cấp hình ảnh 4K X-Reality PRO Chuyển động mượt Motionflow XR 200 Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)","Bộ xử lý X1 4K HDR Processor","50 Hz / 60 Hz","20W","Wi-Fi Cổng mạng LAN","Bluetooth (Kết nối loa, thiết bị di động)","2 cổng USB A","4 cổng HDMI có 1 cổng HDMI eARC (ARC)","Sony.  ","Malaysia","2024","Đèn nền: LED nền (Direct LED), Tấm nền: Hãng không công bố","1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)","",2024-11-03
"321457","Hisense Google TV 55A6500K","7990000","10990000","https://cdn.tgdd.vn/Products/Images/1942/321457/tivi-led-4k-hisense-55a6500k-220124-021318-550x340.jpg","-27","https://www.dienmayxanh.com/tivi/tivi-led-4k-hisense-55a6500k","55 inch","4K","Google TV","HLG HDR10+ Dolby Vision FilmMaker Mode","","60 Hz","20W","Wi-Fi Cổng mạng LAN","Bluetooth (Kết nối loa, thiết bị di động)","2 cổng USB A","3 cổng HDMI có 1 cổng HDMI eARC (ARC), 1 cổng Composite","Hisense.  ","Thái Lan","2023","Đèn nền: LED nền (Direct LED), Tấm nền: VA LCD","1 cổng 3.5 mm, 1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)","",2024-11-03
"324912","LG Smart TV OLED 55B4PSA Mẫu mới","25490000","39900000","https://cdn.tgdd.vn/Products/Images/1942/324912/tivi-oled-lg-4k-55-inch-55b4psa-230424-043653-550x340.jpg","-36","https://www.dienmayxanh.com/tivi/tivi-oled-lg-4k-55-inch-55b4psa","55 inch","4K","","HLG HDR10 Pro Dolby Vision FilmMaker Mode Công nghệ điểm ảnh Pixel Dimming Chống xé hình G-Sync Chống xé hình FreeSync Chuyển động mượt OLED Motion Giảm độ trễ chơi game Auto Low Latency Mode (ALLM) Chế độ game HGiG","","120 Hz","20W","Wi-Fi Cổng mạng LAN","Bluetooth (Kết nối bàn phím, chuột)","2 cổng USB A","4 cổng HDMI có 1 cổng HDMI eARC (ARC)","LG.  ","Indonesia","2024","Tấm nền: OLED","1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)","Quà 520.000₫",2024-11-03
"322655","Samsung Smart TV OLED QA65S90D Mẫu mới","50890000","63900000","https://cdn.tgdd.vn/Products/Images/1942/322655/tivi-oled-samsung-4k-65-inch-qa65s90d-280324-114832-550x340.jpg","-20","https://www.dienmayxanh.com/tivi/tivi-oled-samsung-4k-65-inch-qa65s90d","65 inch","4K","Tizen™","Super Ultra Wide Game View & Game Bar Real Depth Enhancer Màu sắc chuẩn chứng nhận PANTONE Quantum Dot Màn hình OLED Chống chói Anti Reflection Góc nhìn siêu rộng Ultra Viewing Angle Giảm độ trễ chơi game Auto Low Latency Mode (ALLM) Căn chỉnh hình ảnh tự động bảo vệ mắt EyeComfort","","144 Hz","40 W","Wi-Fi Cổng mạng LAN","Bluetooth (Kết nối bàn phím, chuột)","2 cổng USB A","4 cổng HDMI có 1 cổng HDMI eARC (ARC)","Samsung.  ","Việt Nam","2024","Tấm nền: OLED","1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)","Quà 10.520.000₫",2024-11-03
"322656","Samsung Smart TV OLED QA55S90D Mẫu mới","39890000","44900000","https://cdn.tgdd.vn/Products/Images/1942/322656/tivi-oled-samsung-4k-55-inch-qa55s90d-280324-115033-550x340.jpg","-11","https://www.dienmayxanh.com/tivi/tivi-oled-samsung-4k-55-inch-qa55s90d","55 inch","4K","Tizen™","Super Ultra Wide Game View & Game Bar Real Depth Enhancer Màu sắc chuẩn chứng nhận PANTONE Quantum Dot Màn hình OLED Chống chói Anti Reflection Góc nhìn siêu rộng Ultra Viewing Angle Giảm độ trễ chơi game Auto Low Latency Mode (ALLM) Căn chỉnh hình ảnh tự động bảo vệ mắt EyeComfort","","144 Hz","40 W","Wi-Fi Cổng mạng LAN","Bluetooth (Kết nối bàn phím, chuột)","2 cổng USB A","4 cổng HDMI có 1 cổng HDMI eARC (ARC)","Samsung.  ","Việt Nam","2024","Tấm nền: OLED","1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)","Quà 520.000₫",2024-11-03
